net,length_um
_188_,26.52
net914,26.52
_185_,26.44
net1157,26.22
net1159,26.22
net1179,26.22
net924,26.18
_229_,25.74
net920,25.3
_108_,25.18
net395,25
wbs_dat_i[25],24.94
wbs_sel_i[0],24.52
net1081,24.38
net78,24.24
_217_,23.96
net970,23.96
net641,23.92
net877,23.92
net1123,23.8
_192_,23.5
net1082,23.46
net89,23.2
net90,23.2
net1116,23.04
net1161,23.04
_307_,22.94
_295_,22.68
net1330,22.12
net869,22.04
_244_,21.2
_273_,21.2
_308_,21.18
wbs_dat_i[29],20.84
_055_,20.8
net1228,20.74
_241_,20.62
net1236,20.56
net163,20.5
_260_,20.46
net174,20.42
net905,20.24
_122_,20.2
net1321,20.2
net1059,20.12
_261_,20
net801,19.86
_288_,19.76
net765,19.64
wbs_dat_i[7],19.5
net442,19.44
_034_,19.42
net909,19.4
net1050,19.4
io_oeb[23],19.38
net1071,19.18
net868,19.08
wbs_sel_i[1],19.04
wbs_sel_i[2],19.04
net757,18.94
wbs_dat_o[23],18.88
net923,18.86
_186_,18.82
wbs_dat_i[24],18.68
_197_,18.58
_139_,18.56
wbs_dat_o[20],18.54
net632,18.48
wbs_dat_o[22],18.08
wbs_dat_o[28],18.08
wbs_dat_o[29],18.08
wbs_sel_i[3],18.08
net1139,18.06
_220_,18.04
_310_,18.04
net647,18.04
wbs_dat_i[20],18
wbs_dat_i[21],18
wbs_dat_i[22],18
wbs_dat_o[24],18
io_oeb[16],17.76
_293_,17.7
wbs_dat_i[23],17.66
wbs_dat_o[21],17.62
wbs_dat_o[27],17.62
net629,17.6
io_oeb[15],17.54
io_oeb[22],17.54
wbs_dat_o[0],17.5
net467,17.36
net497,17.3
wbs_dat_i[28],17.2
_282_,17.18
wbs_dat_i[17],17.16
wbs_dat_o[26],17.16
net635,17.1
_183_,16.85
net440,16.84
wbs_dat_o[25],16.7
_255_,16.6
_238_,16.44
net381,16.38
net800,16.34
net1114,16.3
wbs_dat_i[27],16.28
net604,16.26
wbs_dat_i[18],16.24
wbs_dat_o[6],16.16
_094_,15.98
_135_,15.96
_158_,15.96
